[natural_language_lsp]2024/04/25 22:53:38 main.go:15: Empecé y eso
[natural_language_lsp]2024/04/25 22:53:38 main.go:45: Connectado a: Neovim 0.9.5
[natural_language_lsp]2024/04/25 22:53:38 main.go:56: Respuesta enviada
[natural_language_lsp]2024/04/25 23:54:06 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:07 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:07 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:07 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:07 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:08 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:08 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:08 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:08 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:08 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:09 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:09 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:09 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:09 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:09 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:10 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:10 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:10 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:10 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:10 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:10 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:11 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:11 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:11 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:11 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:12 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:12 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:12 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:12 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:12 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:12 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:13 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:13 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:13 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:13 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:13 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:13 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:13 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:14 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:14 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:15 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:15 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:22 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:23 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:23 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:23 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:23 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:23 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:23 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:24 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:24 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:24 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:24 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:24 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:24 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:25 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:25 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:25 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:25 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:25 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:28 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:28 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:29 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:29 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:29 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:30 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:31 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:31 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:32 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:32 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:33 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:33 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:33 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:33 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:33 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:35 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:35 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:36 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:36 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:36 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:36 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:36 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:37 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:37 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:37 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:37 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:38 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:39 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:39 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:39 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:39 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:40 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:40 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:41 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:41 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:41 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:41 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:41 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:42 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:43 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:43 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:44 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:44 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:44 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:44 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:45 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:45 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:45 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:46 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:46 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:46 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:47 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:47 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:47 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:47 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:47 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:48 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:48 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:48 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:49 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:50 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:50 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:51 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:51 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:52 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:52 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:52 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:53 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:53 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:53 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:53 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:53 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:53 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:53 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:54 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:54 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:54 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:55 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:55 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:55 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:56 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:56 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:56 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:56 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:57 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:57 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:57 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:57 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:57 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:58 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:58 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:58 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:58 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:59 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:55:00 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:55:00 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:55:00 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:55:00 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:55:00 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:55:01 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:55:01 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:55:01 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:55:01 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:55:01 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:55:01 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:55:02 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
